,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
139,Paramore,Ain't It Fun,4.942,0.154,0.61,0.893,4.41e-05,9,0.021,-3.681,1,0.0921,104.031,4,https://api.spotify.com/v1/tracks/1j8z4TTjJ1YOdoFEDwJTQa,0.673,71
140,Paramore,Still Into You,3.600216666666667,0.0098,0.602,0.923,0.0,5,0.0561,-3.763,1,0.044,136.01,4,https://api.spotify.com/v1/tracks/1yjY7rpaAQvKwpdUliHx0d,0.765,72
141,Paramore,That's What You Get,3.6746666666666665,9.43e-05,0.528,0.831,0.0,8,0.141,-3.607,1,0.0429,131.094,3,https://api.spotify.com/v1/tracks/1JdKrFyoU05abww0Zv0ayQ,0.632,63
142,Paramore,Misery Business,3.525333333333333,0.00272,0.517,0.906,9.26e-06,1,0.113,-3.677,1,0.0735,172.977,4,https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,0.731,72
143,Paramore,Let The Flames Begin,3.3037666666666667,0.000202,0.514,0.92,0.0185,6,0.25,-3.541,0,0.0385,161.0,4,https://api.spotify.com/v1/tracks/7fx2rt43UfclOOulPwBYk2,0.334,53
144,Paramore,crushcrushcrush,3.1562166666666664,0.000218,0.631,0.793,5.65e-05,1,0.0976,-4.086,0,0.0468,136.96,4,https://api.spotify.com/v1/tracks/3VA4sjTMSTTF02hFGmlpJh,0.648,62
145,Portugal. The Man,Feel It Still,2.7208833333333335,0.0417,0.801,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,0.754,86
146,Portugal. The Man,Live In The Moment,4.1131,0.002,0.546,0.583,0.173,6,0.115,-7.317,0,0.0348,128.017,4,https://api.spotify.com/v1/tracks/60eOMEt3WNVX1m1jmApmnX,0.235,73
147,Rancid,Time Bomb,2.40555,0.138,0.646,0.962,0.0,9,0.471,-4.862,1,0.0536,164.79,4,https://api.spotify.com/v1/tracks/41kg2RvdwBuIv0OPpvBS4v,0.961,62
148,Red Hot Chili Peppers,Give It Away,4.7151,0.00244,0.666,0.936,0.086,7,0.153,-9.919,1,0.0476,91.577,4,https://api.spotify.com/v1/tracks/1p9MMNzukuxDBtyrtBAwwI,0.776,48
149,Red Hot Chili Peppers,Under The Bridge,4.4051,0.0576,0.559,0.345,0.000105,4,0.141,-13.496,1,0.0459,84.581,4,https://api.spotify.com/v1/tracks/5PclxRY6shIQzSKxxbdZso,0.458,46
150,Red Hot Chili Peppers,By The Way,3.616216666666667,0.016,0.452,0.976,0.00631,0,0.0985,-4.349,1,0.117,123.035,4,https://api.spotify.com/v1/tracks/2t0ZYmVXMR36fchq1Egs2d,0.178,60
151,Red Hot Chili Peppers,Can't Stop,4.483333333333333,0.0201,0.62,0.934,0.0,4,0.19,-3.427,0,0.0411,91.234,4,https://api.spotify.com/v1/tracks/4BcS4LomxUnQpzx4hCaJTs,0.887,61
