,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
238,Erra,Ultraviolet,4.8533333333333335,0.000296,0.339,0.991,0.000154,10,0.381,-2.99,0,0.207,164.958,4,https://api.spotify.com/v1/tracks/735Haz7N4rsb6ppNbWilHi,0.119,36
239,Erra,Spirits Away,4.31,0.000438,0.235,0.989,1.21e-06,5,0.38,-3.363,1,0.224,125.02,4,https://api.spotify.com/v1/tracks/6z6MRN2QKHQnAov1T80BWB,0.0747,36
240,Erra,Prometheus,4.2411,0.000204,0.329,0.989,0.000372,6,0.287,-3.268,1,0.247,195.07,4,https://api.spotify.com/v1/tracks/0At46meFNoHZH9r3mrlOBt,0.187,35
241,Erra,Crimson,4.522433333333334,6.97e-05,0.278,0.989,8.47e-06,1,0.226,-2.685,1,0.126,174.98,4,https://api.spotify.com/v1/tracks/0IkTvBoTjbhBprumR6EA7Z,0.0891,34
242,Erra,Dementia,7.594883333333334,0.000126,0.0882,0.983,0.0162,7,0.343,-3.124,0,0.274,83.488,4,https://api.spotify.com/v1/tracks/54uiEdLCl6c85W0o6syW9t,0.0428,37
243,Erra,White Noise,4.037333333333334,0.000115,0.31,0.947,2.45e-05,1,0.402,-4.524,1,0.0775,174.978,4,https://api.spotify.com/v1/tracks/76hBYBB5k43oakHbnpqrl6,0.274,37
244,Erra,Pattern Interrupt,3.1626666666666665,6.51e-05,0.327,0.927,1.92e-05,6,0.345,-3.54,1,0.0741,174.987,4,https://api.spotify.com/v1/tracks/4sOEqj902n9vEGiyUJxoFW,0.242,35
245,Erra,Seven,3.2842,0.000458,0.467,0.928,0.0029,10,0.149,-4.33,0,0.139,145.021,4,https://api.spotify.com/v1/tracks/0BW88H75QXknEWSyViU91n,0.265,36
246,Erra,The Architect,3.2662833333333334,7.03e-05,0.417,0.967,3.44e-06,10,0.402,-2.931,0,0.0889,145.064,4,https://api.spotify.com/v1/tracks/3WQJMoVlOmGIfEIT4O3UAg,0.319,35
247,Erra,Efflorescent,3.9675,0.000123,0.417,0.938,6.46e-06,10,0.337,-3.855,0,0.0967,145.009,4,https://api.spotify.com/v1/tracks/7pSVC3eLIaw8NtwPdbB6Z8,0.36,33
248,Erra,Vaalbara,4.242883333333333,3.66e-05,0.165,0.932,0.00199,10,0.322,-4.104,0,0.143,196.082,5,https://api.spotify.com/v1/tracks/15dk5WScw0UFerV8me2rnY,0.267,33
249,Erra,Heart,3.5328833333333334,9.93e-06,0.31,0.951,7.92e-06,10,0.729,-3.761,1,0.075,165.342,3,https://api.spotify.com/v1/tracks/5rFni6q6idl2FrL8YkThii,0.244,33
250,Erra,Obscure Words,3.0777666666666668,0.000236,0.222,0.975,0.000487,5,0.316,-4.124,0,0.11,90.597,4,https://api.spotify.com/v1/tracks/7kXx3fBmwKvvRcl8Oggm4m,0.186,31
251,Erra,Invent,4.71155,1.95e-05,0.388,0.95,0.000401,1,0.411,-3.384,1,0.0627,92.652,4,https://api.spotify.com/v1/tracks/1LNeIKK9OxAsxjbHhHgG9O,0.211,32
252,Erra,Render The Void,5.796,0.000168,0.312,0.953,3.43e-05,10,0.183,-3.954,0,0.0624,174.988,4,https://api.spotify.com/v1/tracks/66r7VvYDm5RqXGAM0cd62C,0.294,33
253,Erra,Luminesce,3.3982,0.0186,0.456,0.979,0.0,8,0.778,-2.687,0,0.131,122.985,4,https://api.spotify.com/v1/tracks/2ERtrtuafvEoue7fUDQ3jj,0.378,50
254,Erra,Irreversible,4.392,0.00318,0.53,0.968,5.59e-06,8,0.211,-4.539,0,0.0833,124.941,4,https://api.spotify.com/v1/tracks/02XPPX3y9bLcaKqs8VJyUY,0.359,48
255,Erra,Skyline,4.7285,0.00708,0.484,0.95,0.000407,5,0.519,-4.006,1,0.0572,128.013,4,https://api.spotify.com/v1/tracks/10uLt6pkF4qaEmToTjnyLc,0.273,52
256,Erra,Hourglass,3.908333333333333,0.000781,0.216,0.939,9.5e-06,5,0.261,-3.576,1,0.0768,119.965,4,https://api.spotify.com/v1/tracks/6vH0hyFqdIOxfAbnxNQ3RQ,0.454,44
257,Erra,Orchid,4.3826,0.000206,0.488,0.981,0.0,5,0.727,-3.922,1,0.0862,114.964,4,https://api.spotify.com/v1/tracks/7JtOqr5QFTtoIT1fRxMSET,0.202,44
